county,Pop2012,Pop2017,Pop85up2012,Pop85up2017,Pop14to172012,Pop14to172017,Pop18to242012,Pop18to242017,Pop65up2012,Pop65up2017
Appling,18388,18438,281,313,1064,976,1544,1490,2700,3167
Atkinson,8254,8215,67,81,516,499,779,750,954,1136
Bacon,11142,11236,136,159,650,658,926,940,1516,1743
Baker,3376,3180,78,92,178,149,272,237,578,689
Baldwin,46511,44921,675,720,1902,1931,9155,8298,6067,6986
Banks,18128,18638,177,239,1033,1081,1519,1483,2569,3208
Barrow,70130,78843,745,926,4009,4515,5694,6323,7336,9615
Bartow,100287,104981,1109,1330,5889,6070,8844,8777,11778,14335
Ben Hill,17580,17001,294,283,970,930,1514,1315,2594,2855
Berrien,19162,19113,291,363,1068,1094,1593,1435,2917,3267
Bibb,156610,152892,2737,2896,8662,8293,16596,15636,20616,23454
Bleckley,12888,12775,305,293,736,653,1892,1865,2033,2143
Brantley,18513,18767,207,269,1154,1106,1567,1503,2505,3010
Brooks,15618,15648,251,259,787,776,1224,1149,2729,3015
Bryan,32253,37019,304,376,2119,2517,2647,2809,3071,3864
Bulloch,73112,76084,694,804,3053,3261,20163,18067,6917,8483
Burke,23030,22518,301,311,1363,1377,2200,1850,2930,3366
Butts,23413,24042,407,431,1113,1066,2291,2277,3205,3728
Calhoun,6565,6399,144,166,271,281,598,578,844,950
Camden,51341,53067,375,522,2932,2596,6793,6467,5233,6868
Candler,11096,10725,187,184,610,580,1025,875,1702,1919
Carroll,111413,117458,1303,1420,6179,6643,15092,15359,13111,15578
Catoosa,64868,66503,945,1164,3768,3886,5290,5092,9543,11524
Charlton,13350,12822,147,214,578,528,1354,1245,1690,2018
Chatham,276134,289260,4664,5132,12123,12828,35346,32035,35600,42937
Chattahoochee,12270,10285,37,61,425,280,3434,2980,456,505
Chattooga,25616,24716,491,494,1338,1351,2189,1997,3961,4285
Cherokee,220638,247894,1991,2623,12980,15221,17309,19726,23496,33254
Clarke,119904,126820,1434,1569,3740,4290,36017,33182,10749,13350
Clay,3105,2962,96,82,119,149,231,190,677,778
Clayton,265283,284534,1591,1798,15675,17282,28708,28352,19224,25641
Clinch,6695,6684,67,78,354,401,617,573,921,1063
Cobb,706399,752783,7149,8683,39383,42073,65099,67750,68393,89149
Coffee,43135,42885,553,536,2442,2383,4674,4168,5045,5774
Colquitt,46033,45543,755,749,2619,2586,4289,3918,6146,6800
Columbia,132560,151642,1518,1952,8520,9179,11216,12164,14676,19712
Cook,16902,17230,261,268,1036,999,1364,1455,2462,2770
Coweta,130575,143050,1355,1617,8005,8727,10384,11754,14912,19223
Crawford,12610,12295,133,162,667,619,1076,874,1841,2254
Crisp,23587,22723,499,538,1355,1253,2173,1871,3524,4135
Dade,16509,16249,263,326,822,733,2124,1943,2602,3050
Dawson,22464,24324,206,314,1158,1234,1687,1825,3699,4792
