county,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Less than 9th grade,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Total; Estimate; Population 25 years and over - Some college, no degree","Percent; Estimate; Population 25 years and over - Some college, no degree",Total; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Associate's degree,Total; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Margin of Error; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent high school graduate or higher,Percent; Margin of Error; Percent high school graduate or higher
Appling,12366,1127,9.1,1949,15.8,4961,40.1,2212,17.9,692,5.6,819,6.6,606,4.9,1.2,75.1,2.8
Atkinson,5242,852,16.3,728,13.9,2103,40.1,760,14.5,371,7.1,252,4.8,176,3.4,1.4,69.9,3.7
Bacon,7454,464,6.2,844,11.3,3082,41.3,1558,20.9,627,8.4,535,7.2,344,4.6,1.7,82.5,2.7
Baker,2308,149,6.5,367,15.9,861,37.3,447,19.4,229,9.9,138,6,117,5.1,2.4,77.6,5.4
Baldwin,28061,1296,4.6,3749,13.4,10206,36.4,5289,18.8,2082,7.4,3013,10.7,2426,8.6,1.4,82,2.2
Banks,12610,990,7.9,1915,15.2,5273,41.8,2179,17.3,750,5.9,923,7.3,580,4.6,1,77,2.8
Barrow,48812,3091,6.3,5109,10.5,16651,34.1,11330,23.2,4210,8.6,5756,11.8,2665,5.5,0.7,83.2,1.2
Bartow,68263,3783,5.5,8000,11.7,23464,34.4,14914,21.8,4874,7.1,8715,12.8,4513,6.6,0.8,82.7,1.2
Ben Hill,11412,593,5.2,1535,13.5,4959,43.5,2207,19.3,950,8.3,709,6.2,459,4,1.6,81.4,2.3
Berrien,12923,701,5.4,1877,14.5,5337,41.3,2269,17.6,1225,9.5,943,7.3,571,4.4,1.4,80.1,2.2
Bibb,99658,4292,4.3,10576,10.6,32104,32.2,21114,21.2,6308,6.3,14848,14.9,10416,10.5,0.8,85.1,0.8
Bleckley,8035,379,4.7,835,10.4,3397,42.3,1511,18.8,532,6.6,748,9.3,633,7.9,1.9,84.9,2.2
Brantley,12397,660,5.3,1611,13,5982,48.3,2291,18.5,881,7.1,543,4.4,429,3.5,1.4,81.7,3.2
Brooks,11034,752,6.8,1397,12.7,4161,37.7,2401,21.8,825,7.5,1056,9.6,442,4,1.3,80.5,3
Bryan,21990,538,2.4,1337,6.1,5844,26.6,5050,23,2087,9.5,4517,20.5,2617,11.9,1.6,91.5,1.4
Bulloch,40497,1641,4.1,3743,9.2,11028,27.2,9453,23.3,3343,8.3,6282,15.5,5007,12.4,1.1,86.7,1.3
Burke,14663,996,6.8,1936,13.2,5430,37,3245,22.1,1341,9.1,1046,7.1,669,4.6,1.4,80,2.4
Butts,16454,927,5.6,2812,17.1,7054,42.9,3034,18.4,895,5.4,1169,7.1,563,3.4,1,77.3,2.4
Calhoun,4864,419,8.6,832,17.1,1950,40.1,988,20.3,216,4.4,290,6,169,3.5,1.2,74.3,3.5
Camden,32402,719,2.2,2022,6.2,10108,31.2,8901,27.5,3006,9.3,4836,14.9,2810,8.7,1,91.5,1.3
Candler,7228,468,6.5,1289,17.8,2545,35.2,1399,19.4,485,6.7,681,9.4,361,5,1.5,75.7,3.4
Carroll,71749,4344,6.1,8174,11.4,24779,34.5,16497,23,3887,5.4,8691,12.1,5377,7.5,0.8,82.6,1.1
Catoosa,45081,1235,2.7,4785,10.6,14487,32.1,10787,23.9,4653,10.3,6169,13.7,2965,6.6,0.8,86.6,1.3
Charlton,8975,793,8.8,1251,13.9,3809,42.4,1634,18.2,718,8,250,2.8,520,5.8,1.8,77.2,4.4
Chatham,189667,5749,3,14507,7.6,45712,24.1,47019,24.8,13622,7.2,38595,20.3,24463,12.9,0.7,89.3,0.5
Chattahoochee,4948,103,2.1,256,5.2,1303,26.3,1260,25.5,393,7.9,1224,24.7,409,8.3,1.8,92.7,2.7
Chattooga,17190,1766,10.3,2872,16.7,6680,38.9,3002,17.5,1135,6.6,1015,5.9,720,4.2,0.9,73,2.1
Cherokee,156284,5344,3.4,8959,5.7,37466,24,37021,23.7,11731,7.5,38336,24.5,17427,11.2,0.6,90.8,0.7
Clarke,68176,3514,5.2,5577,8.2,14411,21.1,12046,17.7,4489,6.6,14124,20.7,14015,20.6,1.1,86.7,1.1
Clay,2063,121,5.9,236,11.4,922,44.7,463,22.4,138,6.7,61,3,122,5.9,2.6,82.7,4.7
Clayton,168512,10999,6.5,15811,9.4,55781,33.1,40318,23.9,13450,8,21663,12.9,10490,6.2,0.5,84.1,0.7
Clinch,4475,458,10.2,724,16.2,1530,34.2,952,21.3,262,5.9,335,7.5,214,4.8,2.1,73.6,3.7
Cobb,490883,21121,4.3,21915,4.5,92922,18.9,96765,19.7,34808,7.1,145159,29.6,78193,15.9,0.4,91.2,0.3
Coffee,27849,2020,7.3,4019,14.4,10618,38.1,4991,17.9,2279,8.2,2373,8.5,1549,5.6,1.2,78.3,2
Colquitt,29544,3010,10.2,4941,16.7,11304,38.3,4749,16.1,1835,6.2,2089,7.1,1616,5.5,0.9,73.1,2.1
Columbia,94536,2569,2.7,4709,5,23361,24.7,20850,22.1,10530,11.1,20098,21.3,12419,13.1,0.8,92.3,0.8
Cook,11247,711,6.3,1680,14.9,4190,37.3,1981,17.6,1020,9.1,1048,9.3,617,5.5,1.3,78.7,2.5
Coweta,91386,3361,3.7,6726,7.4,27383,30,21024,23,6356,7,18032,19.7,8504,9.3,0.6,89,0.9
Crawford,8781,379,4.3,988,11.3,3246,37,2477,28.2,532,6.1,652,7.4,507,5.8,2.1,84.4,2.3
Crisp,15148,1124,7.4,1769,11.7,6134,40.5,3215,21.2,845,5.6,1286,8.5,775,5.1,1.2,80.9,2.8
Dade,11143,791,7.1,1536,13.8,3806,34.2,2398,21.5,1060,9.5,1013,9.1,539,4.8,1.3,79.1,3.3
Dawson,16644,756,4.5,1434,8.6,4764,28.6,3466,20.8,1051,6.3,3226,19.4,1947,11.7,2.1,86.8,2.6
Decatur,17863,1280,7.2,2187,12.2,6393,35.8,4040,22.6,1305,7.3,1447,8.1,1211,6.8,1.5,80.6,2.1
DeKalb,497255,25536,5.1,30629,6.2,104886,21.1,94571,19,32091,6.5,121254,24.4,88288,17.8,0.4,88.7,0.4
Dodge,14874,563,3.8,1960,13.2,6246,42,2845,19.1,1085,7.3,1261,8.5,914,6.1,1.5,83,2
Dooly,10097,967,9.6,1756,17.4,3888,38.5,1853,18.4,631,6.2,675,6.7,327,3.2,1.2,73,4.5
Dougherty,58166,3396,5.8,6693,11.5,16884,29,14750,25.4,4388,7.5,6848,11.8,5207,9,0.8,82.7,1.1
Douglas,90072,3353,3.7,7242,8,28350,31.5,20175,22.4,6916,7.7,14692,16.3,9344,10.4,0.9,88.2,0.9
Early,6965,548,7.9,819,11.8,2527,36.3,1378,19.8,511,7.3,699,10,483,6.9,1.9,80.4,3
Echols,2631,343,13,465,17.7,917,34.9,525,20,200,7.6,127,4.8,54,2.1,1,69.3,6.1
Effingham,36802,1365,3.7,3412,9.3,13799,37.5,8263,22.5,2883,7.8,4802,13,2278,6.2,0.9,87,1.5
Elbert,13469,897,6.7,1985,14.7,6082,45.2,2225,16.5,791,5.9,856,6.4,633,4.7,1.1,78.6,2.2
Emanuel,14815,1061,7.2,1914,12.9,6395,43.2,2585,17.4,1010,6.8,1001,6.8,849,5.7,1.1,79.9,2.4
Evans,7155,713,10,984,13.8,2814,39.3,1126,15.7,407,5.7,714,10,397,5.5,1.6,76.3,3.1
Fannin,18656,977,5.2,1664,8.9,7023,37.6,4042,21.7,1403,7.5,2216,11.9,1331,7.1,1.3,85.8,2.1
Fayette,74267,1400,1.9,2361,3.2,15145,20.4,14822,20,5859,7.9,21811,29.4,12869,17.3,1.2,94.9,0.6
Floyd,63693,5039,7.9,7344,11.5,20321,31.9,13531,21.2,4411,6.9,7793,12.2,5254,8.2,0.8,80.6,1.2
Forsyth,136116,4768,3.5,5379,4,22962,16.9,25045,18.4,9683,7.1,45515,33.4,22764,16.7,0.5,92.5,0.5
