county,PopPov,VeryPoor,Poor
Appling,17937,1998,2437
Atkinson,8264,798,1464
Bacon,10637,794,1672
Baker,3251,303,331
Baldwin,41822,6626,4984
Banks,18349,1231,1398
Barrow,74650,3629,6200
Bartow,101549,5720,8697
Ben Hill,16905,2017,3122
Berrien,18763,2119,2326
Bibb,147580,18978,20495
Bleckley,11270,1333,1258
Brantley,18246,1772,2198
Brooks,15452,2038,1603
Bryan,34738,2145,2752
Bulloch,66213,10991,9162
Burke,22289,3055,3449
Butts,20778,1300,3592
Calhoun,4582,487,987
Camden,50473,3334,3079
Candler,10602,2018,1323
Carroll,111109,9765,10940
Catoosa,65233,2061,4984
Charlton,11780,1213,1506
Chatham,272450,22399,24720
Chattahoochee,7579,605,534
Chattooga,22930,2104,3048
Cherokee,233748,8970,13102
Clarke,113233,21142,17476
Clay,2968,672,558
Clayton,268519,24626,34075
Clinch,6686,1746,895
Cobb,728393,37316,41811
Coffee,39175,5544,3804
Colquitt,45141,5890,5554
Columbia,142975,5490,6779
Cook,16968,1794,2305
Coweta,137036,7878,8022
Crawford,12217,1141,1066
Crisp,22541,2248,4777
Dade,14937,1163,1456
Dawson,23100,941,1788
Decatur,25818,3633,2600
DeKalb,721966,54759,72540
Dodge,19025,1691,2538
Dooly,12237,1310,1527
Dougherty,87646,13995,12764
Douglas,138611,8022,11668
Early,10235,1147,1665
Echols,4006,348,782
Effingham,56545,2261,3144
Elbert,18997,1685,2561
Emanuel,21697,2596,3733
Evans,10222,1082,1575
Fannin,24118,1709,2097
Fayette,109526,2815,4092
Floyd,92440,6648,10126
Forsyth,210409,5881,7762
Franklin,21680,2626,2877
Fulton,978533,77387,79132
Gilmer,29356,1573,3947
Glascock,2939,165,174
Glynn,82098,6681,9092
Gordon,55635,4554,5912
Grady,24773,2593,3691
Greene,16579,1525,2098
Gwinnett,883083,44124,63143
Habersham,41274,2697,4417
Hall,190704,12077,18557
Hancock,6021,597,1207
Haralson,28168,2676,2388
Harris,32667,1243,1139
Hart,24642,1919,2723
Heard,11330,724,1251
Henry,215768,11255,13383
Houston,148253,12771,11974
Irwin,8989,1258,946
Jackson,63275,3459,4439
Jasper,13511,1181,1442
Jeff Davis,14925,1794,1285
Jefferson,15464,1781,2381
Jenkins,8852,1900,820
Johnson,9488,953,1084
Jones,28238,2102,1899
Lamar,16987,1765,1760
Lanier,10017,1576,1299
Laurens,46381,6702,5981
Lee,28191,1313,1968
Liberty,59949,4770,5161
Lincoln,7701,941,832
Long,17659,1409,2121
Lowndes,109857,15218,12192
Lumpkin,30161,2597,3455
McDuffie,21177,2124,3379
McIntosh,13969,784,2045
Macon,11771,1380,1984
Madison,28306,2364,2613
Marion,8439,970,982
Meriwether,20866,2722,2013
Miller,5705,604,728
Mitchell,20101,2154,3284
Monroe,25637,1526,1889
Montgomery,8175,790,803
Morgan,17775,946,1428
Murray,38941,2578,4448
Muscogee,190674,18851,22444
Newton,103499,7726,9602
Oconee,35713,802,1674
Oglethorpe,14488,776,1767
Paulding,151357,7343,7373
Peach,25043,1758,2927
Pickens,30101,790,2174
Pierce,18990,1449,2545
Pike,17524,1027,1121
Polk,40998,3130,4651
Pulaski,9828,1011,1132
Putnam,21150,1487,1938
Quitman,2140,160,328
Rabun,16045,1380,1879
Randolph,6977,1217,1232
Richmond,192621,23826,22866
Rockdale,87480,5526,8706
Schley,5168,590,558
Screven,13656,1448,1644
Seminole,8444,1154,995
Spalding,62957,5815,7809
Stephens,24898,2230,2274
Stewart,3954,335,1305
Sumter,28600,4276,5284
Talbot,6348,513,557
Taliaferro,1839,296,275
Tattnall,19185,1974,2579
Taylor,8097,1091,1194
Telfair,13035,1576,2032
Terrell,8643,1371,1676
Thomas,43990,3459,5121
Tift,38582,3932,6793
Toombs,26809,3066,3466
Towns,10340,790,726
Treutlen,6404,532,815
Troup,67637,5631,8799
Turner,7665,1161,976
Twiggs,8225,967,1277
Union,21744,1642,1146
Upson,25572,2912,2905
Walker,67105,4783,6740
Walton,87387,5915,5285
Ware,33179,4129,4111
Warren,5333,686,741
Washington,18740,2014,3060
Wayne,27469,2803,3060
Webster,2613,187,322
Wheeler,6085,864,916
White,28078,1654,3327
Whitfield,102648,5664,14046
Wilcox,6825,684,807
Wilkes,9779,812,1783
Wilkinson,9046,1130,982
Worth,20652,1769,2678
