county,Pop2012,Pop2017,Pop85up2012,Pop85up2017,Pop14to172012,Pop14to172017,Pop18to242012,Pop18to242017,Pop65up2012,Pop65up2017,EduLess9th,Edu9to12th,HighSchool,SomeCollege,Associate,Bachelor,Graduate degree,PopPov,VeryPoor,Poor,Unemployment
Appling,18388,18438,281,313,1064,976,1544,1490,2700,3167,9.1,15.8,40.1,17.9,5.6,6.6,4.9,17937,1998,2437,7.7
Atkinson,8254,8215,67,81,516,499,779,750,954,1136,16.3,13.9,40.1,14.5,7.1,4.8,3.4,8264,798,1464,8.4
Bacon,11142,11236,136,159,650,658,926,940,1516,1743,6.2,11.3,41.3,20.9,8.4,7.2,4.6,10637,794,1672,3.1
Baker,3376,3180,78,92,178,149,272,237,578,689,6.5,15.9,37.3,19.4,9.9,6,5.1,3251,303,331,2.5
Baldwin,46511,44921,675,720,1902,1931,9155,8298,6067,6986,4.6,13.4,36.4,18.8,7.4,10.7,8.6,41822,6626,4984,9
Banks,18128,18638,177,239,1033,1081,1519,1483,2569,3208,7.9,15.2,41.8,17.3,5.9,7.3,4.6,18349,1231,1398,6.6
Barrow,70130,78843,745,926,4009,4515,5694,6323,7336,9615,6.3,10.5,34.1,23.2,8.6,11.8,5.5,74650,3629,6200,6.8
Bartow,100287,104981,1109,1330,5889,6070,8844,8777,11778,14335,5.5,11.7,34.4,21.8,7.1,12.8,6.6,101549,5720,8697,6
Ben Hill,17580,17001,294,283,970,930,1514,1315,2594,2855,5.2,13.5,43.5,19.3,8.3,6.2,4,16905,2017,3122,5.2
Berrien,19162,19113,291,363,1068,1094,1593,1435,2917,3267,5.4,14.5,41.3,17.6,9.5,7.3,4.4,18763,2119,2326,9.4
Bibb,156610,152892,2737,2896,8662,8293,16596,15636,20616,23454,4.3,10.6,32.2,21.2,6.3,14.9,10.5,147580,18978,20495,10.4
Bleckley,12888,12775,305,293,736,653,1892,1865,2033,2143,4.7,10.4,42.3,18.8,6.6,9.3,7.9,11270,1333,1258,7.7
Brantley,18513,18767,207,269,1154,1106,1567,1503,2505,3010,5.3,13,48.3,18.5,7.1,4.4,3.5,18246,1772,2198,7.8
Brooks,15618,15648,251,259,787,776,1224,1149,2729,3015,6.8,12.7,37.7,21.8,7.5,9.6,4,15452,2038,1603,13.6
Bryan,32253,37019,304,376,2119,2517,2647,2809,3071,3864,2.4,6.1,26.6,23,9.5,20.5,11.9,34738,2145,2752,7.9
Bulloch,73112,76084,694,804,3053,3261,20163,18067,6917,8483,4.1,9.2,27.2,23.3,8.3,15.5,12.4,66213,10991,9162,9.3
Burke,23030,22518,301,311,1363,1377,2200,1850,2930,3366,6.8,13.2,37,22.1,9.1,7.1,4.6,22289,3055,3449,5.8
Butts,23413,24042,407,431,1113,1066,2291,2277,3205,3728,5.6,17.1,42.9,18.4,5.4,7.1,3.4,20778,1300,3592,7.6
Calhoun,6565,6399,144,166,271,281,598,578,844,950,8.6,17.1,40.1,20.3,4.4,6,3.5,4582,487,987,14.9
Camden,51341,53067,375,522,2932,2596,6793,6467,5233,6868,2.2,6.2,31.2,27.5,9.3,14.9,8.7,50473,3334,3079,8.2
Candler,11096,10725,187,184,610,580,1025,875,1702,1919,6.5,17.8,35.2,19.4,6.7,9.4,5,10602,2018,1323,6.3
Carroll,111413,117458,1303,1420,6179,6643,15092,15359,13111,15578,6.1,11.4,34.5,23,5.4,12.1,7.5,111109,9765,10940,9.4
Catoosa,64868,66503,945,1164,3768,3886,5290,5092,9543,11524,2.7,10.6,32.1,23.9,10.3,13.7,6.6,65233,2061,4984,5.4
Charlton,13350,12822,147,214,578,528,1354,1245,1690,2018,8.8,13.9,42.4,18.2,8,2.8,5.8,11780,1213,1506,10.4
Chatham,276134,289260,4664,5132,12123,12828,35346,32035,35600,42937,3,7.6,24.1,24.8,7.2,20.3,12.9,272450,22399,24720,8.7
Chattahoochee,12270,10285,37,61,425,280,3434,2980,456,505,2.1,5.2,26.3,25.5,7.9,24.7,8.3,7579,605,534,15.2
Chattooga,25616,24716,491,494,1338,1351,2189,1997,3961,4285,10.3,16.7,38.9,17.5,6.6,5.9,4.2,22930,2104,3048,9.5
Cherokee,220638,247894,1991,2623,12980,15221,17309,19726,23496,33254,3.4,5.7,24,23.7,7.5,24.5,11.2,233748,8970,13102,4.9
Clarke,119904,126820,1434,1569,3740,4290,36017,33182,10749,13350,5.2,8.2,21.1,17.7,6.6,20.7,20.6,113233,21142,17476,7.6
