county,EduLess9th,Edu9to12th,HighSchool,SomeCollege,Associate,Bachelor,Graduate degree
Appling,9.1,15.8,40.1,17.9,5.6,6.6,4.9
Atkinson,16.3,13.9,40.1,14.5,7.1,4.8,3.4
Bacon,6.2,11.3,41.3,20.9,8.4,7.2,4.6
Baker,6.5,15.9,37.3,19.4,9.9,6,5.1
Baldwin,4.6,13.4,36.4,18.8,7.4,10.7,8.6
Banks,7.9,15.2,41.8,17.3,5.9,7.3,4.6
Barrow,6.3,10.5,34.1,23.2,8.6,11.8,5.5
Bartow,5.5,11.7,34.4,21.8,7.1,12.8,6.6
Ben Hill,5.2,13.5,43.5,19.3,8.3,6.2,4
Berrien,5.4,14.5,41.3,17.6,9.5,7.3,4.4
Bibb,4.3,10.6,32.2,21.2,6.3,14.9,10.5
Bleckley,4.7,10.4,42.3,18.8,6.6,9.3,7.9
Brantley,5.3,13,48.3,18.5,7.1,4.4,3.5
Brooks,6.8,12.7,37.7,21.8,7.5,9.6,4
Bryan,2.4,6.1,26.6,23,9.5,20.5,11.9
Bulloch,4.1,9.2,27.2,23.3,8.3,15.5,12.4
Burke,6.8,13.2,37,22.1,9.1,7.1,4.6
Butts,5.6,17.1,42.9,18.4,5.4,7.1,3.4
Calhoun,8.6,17.1,40.1,20.3,4.4,6,3.5
Camden,2.2,6.2,31.2,27.5,9.3,14.9,8.7
Candler,6.5,17.8,35.2,19.4,6.7,9.4,5
Carroll,6.1,11.4,34.5,23,5.4,12.1,7.5
Catoosa,2.7,10.6,32.1,23.9,10.3,13.7,6.6
Charlton,8.8,13.9,42.4,18.2,8,2.8,5.8
Chatham,3,7.6,24.1,24.8,7.2,20.3,12.9
Chattahoochee,2.1,5.2,26.3,25.5,7.9,24.7,8.3
Chattooga,10.3,16.7,38.9,17.5,6.6,5.9,4.2
Cherokee,3.4,5.7,24,23.7,7.5,24.5,11.2
Clarke,5.2,8.2,21.1,17.7,6.6,20.7,20.6
Clay,5.9,11.4,44.7,22.4,6.7,3,5.9
Clayton,6.5,9.4,33.1,23.9,8,12.9,6.2
Clinch,10.2,16.2,34.2,21.3,5.9,7.5,4.8
Cobb,4.3,4.5,18.9,19.7,7.1,29.6,15.9
Coffee,7.3,14.4,38.1,17.9,8.2,8.5,5.6
Colquitt,10.2,16.7,38.3,16.1,6.2,7.1,5.5
Columbia,2.7,5,24.7,22.1,11.1,21.3,13.1
Cook,6.3,14.9,37.3,17.6,9.1,9.3,5.5
Coweta,3.7,7.4,30,23,7,19.7,9.3
Crawford,4.3,11.3,37,28.2,6.1,7.4,5.8
Crisp,7.4,11.7,40.5,21.2,5.6,8.5,5.1
Dade,7.1,13.8,34.2,21.5,9.5,9.1,4.8
Dawson,4.5,8.6,28.6,20.8,6.3,19.4,11.7
Decatur,7.2,12.2,35.8,22.6,7.3,8.1,6.8
DeKalb,5.1,6.2,21.1,19,6.5,24.4,17.8
Dodge,3.8,13.2,42,19.1,7.3,8.5,6.1
Dooly,9.6,17.4,38.5,18.4,6.2,6.7,3.2
Dougherty,5.8,11.5,29,25.4,7.5,11.8,9
Douglas,3.7,8,31.5,22.4,7.7,16.3,10.4
Early,7.9,11.8,36.3,19.8,7.3,10,6.9
Echols,13,17.7,34.9,20,7.6,4.8,2.1
Effingham,3.7,9.3,37.5,22.5,7.8,13,6.2
Elbert,6.7,14.7,45.2,16.5,5.9,6.4,4.7
Emanuel,7.2,12.9,43.2,17.4,6.8,6.8,5.7
Evans,10,13.8,39.3,15.7,5.7,10,5.5
Fannin,5.2,8.9,37.6,21.7,7.5,11.9,7.1
Fayette,1.9,3.2,20.4,20,7.9,29.4,17.3
Floyd,7.9,11.5,31.9,21.2,6.9,12.2,8.2
Forsyth,3.5,4,16.9,18.4,7.1,33.4,16.7
Franklin,8.3,14.4,39.1,17.6,7.7,8.1,4.6
Fulton,2.7,5.5,18.3,17.2,6,29.9,20.3
Gilmer,7.6,11.2,35.1,19.8,7.7,11.6,7
Glascock,9.4,13,42.4,20.5,5.4,7.2,2.2
Glynn,3.1,8.8,27.8,23.6,7.8,17.9,11.1
Gordon,9.5,13.7,34.6,21.8,6.8,8.1,5.6
Grady,8.5,13.8,36.2,18.4,9.4,8.4,5.3
Greene,6.4,11.2,32.7,18.8,5.3,13.9,11.7
Gwinnett,6.4,6.1,23.1,19.8,9.2,23.3,12
Habersham,10,11.9,33.8,19.3,6.5,10.1,8.2
Hall,11.4,10.4,27.5,20.5,6.6,14.7,8.8
Hancock,8.5,21.7,41.8,15.9,3.4,4.9,3.8
Haralson,6.7,14.3,36.8,22.5,5.5,7.9,6.2
Harris,2.7,8.2,24.5,26.8,10.4,16.5,10.8
Hart,4.8,14.1,39.2,20.4,7.8,8.3,5.4
Heard,6,13.7,44.9,18.6,6,6.2,4.6
Henry,2.9,7,30.3,23.1,8.8,17.9,10
Houston,2.7,6.6,28.9,26.3,10.2,15.5,9.8
Irwin,4.7,13.2,40.7,16.1,12.2,6.4,6.7
Jackson,5.9,11.4,33,20.8,9.3,12.8,6.9
Jasper,7.6,16.2,38.1,20.5,7.1,5.7,4.8
Jeff Davis,6.6,16.4,36.5,22.4,7.9,6,4.3
Jefferson,8.6,17,41.5,15.9,6.5,7.5,3.1
Jenkins,5.3,16,42.4,20.8,7.2,5,3.2
Johnson,5.7,18.8,43.2,17,5.8,6,3.6
Jones,3.1,8.6,38.4,21.4,7.7,12.3,8.5
Lamar,3.3,11.2,37.7,21.6,7.9,12.8,5.6
Lanier,7,13.1,33.3,20.7,10.1,10.6,5.2
Laurens,5.3,10.8,44.3,16.3,7.9,8.4,7.1
Lee,2.4,8.7,29,22.3,11.9,15.1,10.6
Liberty,2.8,6.3,31.3,30.5,9.6,13.5,6
Lincoln,5.9,11.1,43.9,19.6,7.4,7.9,4.2
Long,3.9,9.6,30.8,31.1,9,10.1,5.5
Lowndes,4.5,11.2,29.4,21,8.8,14.9,10.3
Lumpkin,5.7,11,28.9,21.2,6.5,15,11.6
McDuffie,5,13.9,39.6,18.9,7.4,9.7,5.6
McIntosh,4.4,12.8,36.1,22.5,10.3,8.3,5.7
Macon,9.1,18.1,33.8,24.9,5.5,5.2,3.4
Madison,6.3,11.5,37.8,19.7,8.1,9.3,7.4
Marion,5.1,17.8,37,22.4,5.2,7,5.5
Meriwether,7,15.8,39.2,22.1,5.2,6.4,4.3
Miller,5.3,12.6,39,22.9,8.8,7.6,3.7
Mitchell,5.9,17.5,38.5,19,6.8,8.3,4
Monroe,3.6,12.2,35.8,19.1,6.5,12.3,10.4
Montgomery,6.7,12,38.3,21,6.5,8.8,6.7
Morgan,3.6,9.9,34.7,21.6,8.2,13.5,8.6
Murray,12.4,20,37.1,16.8,4.1,5.6,4
Muscogee,4.1,8.5,27.7,25.1,8.6,16,9.9
Newton,4.2,10.6,32.6,25.2,7.5,12.6,7.2
Oconee,1.5,4.1,21,17.8,7.4,23,25.2
Oglethorpe,7.7,14.4,36,18.7,7.6,9.6,6
Paulding,3,6.9,33,24.1,8.6,16,8.3
Peach,5.7,8.5,30.8,27,7.7,11.9,8.4
Pickens,5.7,10.6,28.8,22.5,7.5,15.8,9.1
Pierce,5.4,12.8,40.2,20.6,8.4,6.6,6.1
Pike,3,8.1,41.1,24.8,6.6,11.1,5.4
Polk,8.9,14.4,38.2,20,5.9,7.5,5.2
Pulaski,5.6,14.4,40.1,20.6,6.8,6.7,5.8
Putnam,3.8,10.3,36.9,19.4,8.2,14.6,6.9
Quitman,6.3,23.4,38.6,20.5,2.8,5.2,3.1
Rabun,5.1,11.1,33.4,18.9,6.2,14.2,11.2
Randolph,10.7,15.6,35.1,22.1,4.4,6.9,5.2
Richmond,4.9,12.1,30.8,23.1,8.1,13,8.1
Rockdale,4.5,8.6,32.3,20.3,8.6,17.3,8.4
Schley,4.9,13.8,34.5,24.8,8.3,8.1,5.6
Screven,6.2,11.8,40.8,20.7,5.7,9.5,5.2
Seminole,5.1,10.8,40.9,21.9,6.1,9.3,5.7
Spalding,5.1,14.3,38.2,19.5,6.7,10.5,5.7
Stephens,5.4,12.9,36.1,18.9,7,10.6,9
Stewart,17,17.3,38.3,11.4,3.6,9.6,2.8
Sumter,7.6,13.7,33.7,19.8,8.4,8.8,8
Talbot,5.8,15,43,16.3,7.4,8.2,4.3
Taliaferro,12.6,18.3,47.5,10.4,4.4,5.5,1.3
Tattnall,7.4,18.2,38.9,17.3,5.9,7.4,4.9
Taylor,8.9,14.3,36,23,6.4,7.3,4.1
Telfair,11.1,18.6,47.4,9.7,5.2,4.2,3.9
Terrell,6.5,17.7,31.4,24.2,9.4,5.8,5
Thomas,4.7,12.8,31.2,20.7,8.3,12,10.2
Tift,5.7,12.2,34.8,18.8,11.8,8.4,8.4
Toombs,8,11.3,38.9,19.5,6.4,9.8,6.1
Towns,5,5.9,30.4,24.1,9,15.1,10.5
Treutlen,7.5,16.1,35.7,19.1,5.9,9.6,6
Troup,5.6,10.9,35.5,22.7,6.9,11.5,7.1
Turner,8.6,14.9,37.7,17.5,7.8,8.5,5
Twiggs,8.6,22.8,38.2,15.9,5.3,5.8,3.4
Union,2.7,8.7,34.6,23,9.1,12,10
Upson,5.8,15,36.9,20.5,8.8,7.9,5
Walker,5.6,13.1,37.1,21.1,7.7,10.4,5.1
Walton,2.7,10.5,38.1,21.6,8,13.2,5.7
Ware,4.5,13.1,41.3,20.3,7.3,7.9,5.6
Warren,9.3,15.6,43.9,12,5.5,8.5,5.2
Washington,6.6,14.7,41.8,18.3,5.6,8.8,4.2
Wayne,6.5,12.2,39.8,19.9,8.9,7.5,5.3
Webster,5.8,13.3,49.1,13.9,6.8,6.4,4.8
Wheeler,6.2,16.9,49.7,12.7,6.4,7,1.1
White,3.4,11.4,31.7,24,9.2,11.9,8.3
Whitfield,14,17.1,28.9,20.6,4.8,9.3,5.3
Wilcox,5.7,13.5,49.8,15.2,5.2,6.1,4.4
Wilkes,7.5,13.9,41.6,17.1,5.7,7.8,6.6
Wilkinson,5.2,12.2,52.1,16.2,5.3,5.5,3.5
Worth,7.2,14.7,39.1,18.8,9.1,6.7,4.3
