county,Unemployment
Appling,7.7
Atkinson,8.4
Bacon,3.1
Baker,2.5
Baldwin,9
Banks,6.6
Barrow,6.8
Bartow,6
Ben Hill,5.2
Berrien,9.4
Bibb,10.4
Bleckley,7.7
Brantley,7.8
Brooks,13.6
Bryan,7.9
Bulloch,9.3
Burke,5.8
Butts,7.6
Calhoun,14.9
Camden,8.2
Candler,6.3
Carroll,9.4
Catoosa,5.4
Charlton,10.4
Chatham,8.7
Chattahoochee,15.2
Chattooga,9.5
Cherokee,4.9
Clarke,7.6
Clay,20.3
Clayton,10.3
Clinch,9.1
Cobb,6
Coffee,5.7
Colquitt,7.2
Columbia,5.8
Cook,5.8
Coweta,5.4
Crawford,12.6
Crisp,14.8
Dade,4.8
Dawson,6.1
Decatur,6.5
DeKalb,8.5
Dodge,9
Dooly,10.5
Dougherty,15.8
Douglas,7.9
Early,8.7
Echols,5.5
Effingham,5
Elbert,7.7
Emanuel,10.3
Evans,6.6
Fannin,8.3
Fayette,5.5
Floyd,7.5
Forsyth,4.2
Franklin,6.3
Fulton,7.7
Gilmer,7.4
Glascock,3.3
Glynn,6.7
Gordon,5.7
Grady,8
Greene,6.5
Gwinnett,5.8
Habersham,5.5
Hall,4.6
Hancock,4
Haralson,7.2
Harris,8.5
Hart,4.7
Heard,9.6
Henry,7.7
Houston,7.8
Irwin,7.4
Jackson,6.5
Jasper,7.2
Jeff Davis,5
Jefferson,8.5
Jenkins,6.3
Johnson,11.4
Jones,8.7
Lamar,11.4
Lanier,10.6
Laurens,5.1
Lee,7.1
Liberty,11.9
Lincoln,6
Long,17.2
Lowndes,9.2
Lumpkin,6
McDuffie,8.1
McIntosh,9.2
Macon,16.8
Madison,8
Marion,10
Meriwether,8.1
Miller,5.7
Mitchell,15.2
Monroe,9.4
Montgomery,6.6
Morgan,5.7
Murray,7.4
Muscogee,10
Newton,9
Oconee,4.4
Oglethorpe,5.8
Paulding,5.2
Peach,8.6
Pickens,7
Pierce,6.2
Pike,9
Polk,7.2
Pulaski,6.7
Putnam,6.5
Quitman,12.1
Rabun,5.7
Randolph,8.9
Richmond,11.6
Rockdale,8.7
Schley,14.2
Screven,5.5
Seminole,7.3
Spalding,8.3
Stephens,11.7
Stewart,11.8
Sumter,10.6
Talbot,8.2
Taliaferro,9.5
Tattnall,4
Taylor,14.1
Telfair,4.1
Terrell,10.4
Thomas,9.3
Tift,3.9
Toombs,10.3
Towns,6.8
Treutlen,5.6
Troup,8.9
Turner,6.5
Twiggs,6.3
Union,5.5
Upson,11.2
Walker,7
Walton,6.9
Ware,4.6
Warren,8.2
Washington,9.3
Wayne,9.5
Webster,4
Wheeler,9.1
White,4.3
Whitfield,8
Wilcox,7.6
Wilkes,7.5
Wilkinson,8.8
Worth,9.7
