county,Violent2018,Violent2017,Violent2012,Property2012,Property2017,Property2018,Pop2012,Pop2017,Pop85up2012,Pop85up2017,Pop14to172012,Pop14to172017,Pop18to242012,Pop18to242017,Pop65up2012,Pop65up2017,EduLess9th,Edu9to12th,HighSchool,SomeCollege,Associate,Bachelor,Graduate degree,PopPov,VeryPoor,Poor,Unemployment
Baldwin,259,200,177,628,649,646,46511,44921,675,720,1902,1931,9155,8298,6067,6986,4.6,13.4,36.4,18.8,7.4,10.7,8.6,41822,6626,4984,9
Banks,52,43,49,523,471,395,18128,18638,177,239,1033,1081,1519,1483,2569,3208,7.9,15.2,41.8,17.3,5.9,7.3,4.6,18349,1231,1398,6.6
Ben Hill,22,17,26,151,192,167,17580,17001,294,283,970,930,1514,1315,2594,2855,5.2,13.5,43.5,19.3,8.3,6.2,4,16905,2017,3122,5.2
Berrien,32,20,9,167,173,229,19162,19113,291,363,1068,1094,1593,1435,2917,3267,5.4,14.5,41.3,17.6,9.5,7.3,4.4,18763,2119,2326,9.4
Bleckley,9,21,9,131,111,109,12888,12775,305,293,736,653,1892,1865,2033,2143,4.7,10.4,42.3,18.8,6.6,9.3,7.9,11270,1333,1258,7.7
Brooks,36,40,21,228,173,155,15618,15648,251,259,787,776,1224,1149,2729,3015,6.8,12.7,37.7,21.8,7.5,9.6,4,15452,2038,1603,13.6
Bryan,37,87,41,284,281,330,32253,37019,304,376,2119,2517,2647,2809,3071,3864,2.4,6.1,26.6,23,9.5,20.5,11.9,34738,2145,2752,7.9
Bulloch,38,33,29,734,553,550,73112,76084,694,804,3053,3261,20163,18067,6917,8483,4.1,9.2,27.2,23.3,8.3,15.5,12.4,66213,10991,9162,9.3
Butts,65,69,40,406,376,267,23413,24042,407,431,1113,1066,2291,2277,3205,3728,5.6,17.1,42.9,18.4,5.4,7.1,3.4,20778,1300,3592,7.6
Charlton,21,18,15,106,108,119,111413,117458,1303,1420,6179,6643,15092,15359,13111,15578,6.1,11.4,34.5,23,5.4,12.1,7.5,111109,9765,10940,9.4
Chattooga,5,37,38,391,287,86,25616,24716,491,494,1338,1351,2189,1997,3961,4285,10.3,16.7,38.9,17.5,6.6,5.9,4.2,22930,2104,3048,9.5
Cherokee,97,119,117,1854,1449,1307,220638,247894,1991,2623,12980,15221,17309,19726,23496,33254,3.4,5.7,24,23.7,7.5,24.5,11.2,233748,8970,13102,4.9
Clay,10,8,2,2,25,16,3105,2962,96,82,119,149,231,190,677,778,5.9,11.4,44.7,22.4,6.7,3,5.9,2968,672,558,20.3
Clinch,10,10,5,67,46,63,6695,6684,67,78,354,401,617,573,921,1063,10.2,16.2,34.2,21.3,5.9,7.5,4.8,6686,1746,895,9.1
Coffee,93,107,65,840,653,563,43135,42885,553,536,2442,2383,4674,4168,5045,5774,7.3,14.4,38.1,17.9,8.2,8.5,5.6,39175,5544,3804,5.7
Columbia,53,67,68,2297,1963,1816,132560,151642,1518,1952,8520,9179,11216,12164,14676,19712,2.7,5,24.7,22.1,11.1,21.3,13.1,142975,5490,6779,5.8
Cook,43,33,8,116,121,133,16902,17230,261,268,1036,999,1364,1455,2462,2770,6.3,14.9,37.3,17.6,9.1,9.3,5.5,16968,1794,2305,5.8
Coweta,91,109,86,1419,1256,1052,130575,143050,1355,1617,8005,8727,10384,11754,14912,19223,3.7,7.4,30,23,7,19.7,9.3,137036,7878,8022,5.4
Crawford,22,15,42,404,261,210,12610,12295,133,162,667,619,1076,874,1841,2254,4.3,11.3,37,28.2,6.1,7.4,5.8,12217,1141,1066,12.6
Crisp,9,12,20,371,336,370,23587,22723,499,538,1355,1253,2173,1871,3524,4135,7.4,11.7,40.5,21.2,5.6,8.5,5.1,22541,2248,4777,14.8
Dawson,32,36,11,374,454,433,22464,24324,206,314,1158,1234,1687,1825,3699,4792,4.5,8.6,28.6,20.8,6.3,19.4,11.7,23100,941,1788,6.1
Decatur,48,46,38,336,293,246,27446,26674,456,481,1654,1544,2576,2401,4026,4314,7.2,12.2,35.8,22.6,7.3,8.1,6.8,25818,3633,2600,6.5
Dodge,32,20,31,376,213,178,21514,20741,311,371,1166,929,2185,1741,3244,3576,3.8,13.2,42,19.1,7.3,8.5,6.1,19025,1691,2538,9
Dooly,2,9,11,71,86,94,14414,13690,250,277,666,619,1171,1029,2205,2652,9.6,17.4,38.5,18.4,6.2,6.7,3.2,12237,1310,1527,10.5
Dougherty,29,35,40,565,420,446,94676,89417,1549,1699,5044,4749,12017,9910,11980,13764,5.8,11.5,29,25.4,7.5,11.8,9,87646,13995,12764,15.8
Early,8,31,16,133,87,98,10639,10304,233,232,654,598,875,846,1916,1941,7.9,11.8,36.3,19.8,7.3,10,6.9,10235,1147,1665,8.7
Echols,1,2,0,46,45,43,3970,3933,33,46,227,243,371,335,412,493,13,17.7,34.9,20,7.6,4.8,2.1,4006,348,782,5.5
